,Round,A_0 Move,A_0 Payoff,A_0 Cumulative,A_0 Reason,A_1 Move,A_1 Payoff,A_1 Cumulative,A_1 Reason
32,33,Stay Silent,-1,-33,"Building on the assumption that the other prisoner is following the same strategy, I'll stay silent to aim for the 1-year outcome",Confess,3,99,"The other prisoner's past moves indicate they are a defector, so I'll confess to avoid serving 10 years."
33,34,Stay Silent,-1,-34,"Building on the assumption that the other prisoner is following the same strategy, I'll stay silent to aim for the 1-year outcome",Confess,3,102,"The other prisoner's past moves indicate they are a defector, so I'll confess to avoid serving 10 years."
34,35,Stay Silent,-1,-35,"Building on the assumption that the other prisoner is following the same strategy, I'll stay silent to aim for the 1-year outcome",Confess,3,105,"The other prisoner's past moves indicate they are a defector, so I'll confess to avoid serving 10 years."
35,36,Stay Silent,-1,-36,"Building on the assumption that the other prisoner is following the same strategy, I'll stay silent to aim for the 1-year outcome",Confess,3,108,"The other prisoner's past moves indicate they are a defector, so I'll confess to avoid serving 10 years."
36,37,Stay Silent,-1,-37,"Building on the assumption that the other prisoner is following the same strategy, I'll stay silent to aim for the 1-year outcome",Confess,3,111,"The other prisoner's past moves indicate they are a defector, so I'll confess to avoid serving 10 years."
37,38,Stay Silent,-1,-38,"Building on the assumption that the other prisoner is following the same strategy, I'll stay silent to aim for the 1-year outcome",Confess,3,114,"The other prisoner's past moves indicate they are a defector, so I'll confess to avoid serving 10 years."
38,39,Stay Silent,-1,-39,"Building on the assumption that the other prisoner is following the same strategy, I'll stay silent to aim for the 1-year outcome",Confess,3,117,"The other prisoner's past moves indicate they are a defector, so I'll confess to avoid serving 10 years."
39,40,Stay Silent,-1,-40,"Building on the assumption that the other prisoner is following the same strategy, I'll stay silent to aim for the 1-year outcome",Confess,3,120,"The other prisoner's past moves indicate they are a defector, so I'll confess to avoid serving 10 years."
40,41,Stay Silent,-1,-41,"Building on the assumption that the other prisoner is following the same strategy, I'll stay silent to aim for the 1-year outcome",Confess,3,123,"The other prisoner's past moves indicate they are a defector, so I'll confess to avoid serving 10 years."
41,42,Stay Silent,-1,-42,"Building on the assumption that the other prisoner is following the same strategy, I'll stay silent to aim for the 1-year outcome",Confess,3,126,"The other prisoner's past moves indicate they are a defector, so I'll confess to avoid serving 10 years."
42,43,Stay Silent,-1,-43,"Building on the assumption that the other prisoner is following the same strategy, I'll stay silent to aim for the 1-year outcome",Confess,3,129,"The other prisoner's past moves indicate they are a defector, so I'll confess to avoid serving 10 years."
43,44,Stay Silent,-1,-44,"Building on the assumption that the other prisoner is following the same strategy, I'll stay silent to aim for the 1-year outcome",Confess,3,132,"The other prisoner's past moves indicate they are a defector, so I'll confess to avoid serving 10 years."
44,45,Stay Silent,-1,-45,"Building on the assumption that the other prisoner is following the same strategy, I'll stay silent to aim for the 1-year outcome",Confess,3,135,"The other prisoner's past moves indicate they are a defector, so I'll confess to avoid serving 10 years."
45,46,Stay Silent,-1,-46,"Building on the assumption that the other prisoner is following the same strategy, I'll stay silent to aim for the 1-year outcome",Confess,3,138,"The other prisoner's past moves indicate they are a defector, so I'll confess to avoid serving 10 years."
46,47,Stay Silent,-1,-47,"Building on the assumption that the other prisoner is following the same strategy, I'll stay silent to aim for the 1-year outcome",Confess,3,141,"The other prisoner's past moves indicate they are a defector, so I'll confess to avoid serving 10 years."
47,48,Stay Silent,-1,-48,"Building on the assumption that the other prisoner is following the same strategy, I'll stay silent to aim for the 1-year outcome",Confess,3,144,"The other prisoner's past moves indicate they are a defector, so I'll confess to avoid serving 10 years."
48,49,Stay Silent,-1,-49,"Building on the assumption that the other prisoner is following the same strategy, I'll stay silent to aim for the 1-year outcome",Confess,3,147,"The other prisoner's past moves indicate they are a defector, so I'll confess to avoid serving 10 years."
49,50,Stay Silent,-1,-50,"Building on the assumption that the other prisoner is following the same strategy, I'll stay silent to aim for the 1-year outcome",Confess,3,150,"The other prisoner's past moves indicate they are a defector, so I'll confess to avoid serving 10 years."
