,Round,A_0 Move,A_0 Payoff,A_0 Cumulative,A_0 Reason,A_1 Move,A_1 Payoff,A_1 Cumulative,A_1 Reason
40,41,Confess,0,5,To avoid a potential 10-year sentence if the other prisoner confesses and I stay silent,Confess,0,1,"The other prisoner's past actions are irrelevant, and confessing guarantees a maximum sentence of 1 year, rather than the potential 10 years if they stay silent and the other prisoner confesses."
41,42,Confess,0,5,To avoid a potential 10-year sentence if the other prisoner confesses and I stay silent,Confess,0,1,"The other prisoner's past actions are irrelevant, and confessing guarantees a maximum sentence of 1 year, rather than the potential 10 years if they stay silent and the other prisoner confesses."
42,43,Confess,0,5,To avoid a potential 10-year sentence if the other prisoner confesses and I stay silent,Confess,0,1,"The other prisoner's past actions are irrelevant, and confessing guarantees a maximum sentence of 1 year, rather than the potential 10 years if they stay silent and the other prisoner confesses."
43,44,Confess,0,5,To avoid a potential 10-year sentence if the other prisoner confesses and I stay silent,Confess,0,1,"The other prisoner's past actions are irrelevant, and confessing guarantees a maximum sentence of 1 year, rather than the potential 10 years if they stay silent and the other prisoner confesses."
44,45,Confess,0,5,To avoid a potential 10-year sentence if the other prisoner confesses and I stay silent,Confess,0,1,"The other prisoner's past actions are irrelevant, and confessing guarantees a maximum sentence of 1 year, rather than the potential 10 years if they stay silent and the other prisoner confesses."
45,46,Confess,0,5,To avoid a potential 10-year sentence if the other prisoner confesses and I stay silent,Confess,0,1,"The other prisoner's past actions are irrelevant, and confessing guarantees a maximum sentence of 1 year, rather than the potential 10 years if they stay silent and the other prisoner confesses."
46,47,Confess,0,5,To avoid a potential 10-year sentence if the other prisoner confesses and I stay silent,Confess,0,1,"The other prisoner's past actions are irrelevant, and confessing guarantees a maximum sentence of 1 year, rather than the potential 10 years if they stay silent and the other prisoner confesses."
47,48,Confess,0,5,To avoid a potential 10-year sentence if the other prisoner confesses and I stay silent,Confess,0,1,"The other prisoner's past actions are irrelevant, and confessing guarantees a maximum sentence of 1 year, rather than the potential 10 years if they stay silent and the other prisoner confesses."
48,49,Confess,0,5,To avoid a potential 10-year sentence if the other prisoner confesses and I stay silent,Confess,0,1,"The other prisoner's past actions are irrelevant, and confessing guarantees a maximum sentence of 1 year, rather than the potential 10 years if they stay silent and the other prisoner confesses."
49,50,Confess,0,5,To avoid a potential 10-year sentence if the other prisoner confesses and I stay silent,Confess,0,1,"The other prisoner's past actions are irrelevant, and confessing guarantees a maximum sentence of 1 year, rather than the potential 10 years if they stay silent and the other prisoner confesses."
